Source:,C:\Users\Alec\Documents\Classes\Electrical_Projects\Heater\Heater_Controller\Heater_Controller\Heater_Controller.sch,,,,,,
Date:,8/18/2021 3:11,,,,,,
Tool:,Eeschema (5.1.10)-1,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,32,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,part#
0805B104J101CT,1,C1,100n,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
25RX30100MCPA8X11.5,1,C2,100u,Device:CP,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,~,
,,C3,5n,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
,,C4,10p,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
CGA4F2X7R2A222KT0Y0S,5,C5,2n,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
0805B104J101CT,1,C6,100n,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
0805B104J101CT,1,C7,100n,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
0805B104J101CT,1,C8,100n,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,
US1DWF-7,1,D1,FS14,Device:D_Schottky,Diode_SMD:D_SOD-123F,~,
SL34A-TP,1,D2,SL34A,Device:D_Schottky,Diode_SMD:D_SMA_Handsoldering,~,
,,D3,L171L-GC,Device:LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,
,,D4,APTB1612SURKQBDC-F01,Device:LED_Dual_AAC,LED_SMD:LED_Kingbright_AAA3528ESGCT,~,
FH1-200CK-B,1,F1,Fuse,Device:Fuse,Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,~,
